OBJECTID_1,LAN_ew_AGS,LAN_ew_GEN,LAN_ew_BEZ,LAN_ew_EWZ,OBJECTID,Fallzahl,Aktualisierung,AGS_TXT,GlobalID,faelle_100000_EW,Death,cases7_bl_per_100k,cases7_bl,death7_bl,cases7_bl_per_100k_txt,AdmUnitId,SHAPE_Length,SHAPE_Area
1,01,Schleswig-Holstein,Land,2903773,15,41989,2021/02/25 23:00:00+00,01,{FC5BA936-C95C-432C-8A33-9EB2F30B660F},1446.01523603946,1272,50.8304195954711,1476,5,"50,8",1,20.9191264620575,2.15954567681771
2,02,Hamburg,Freie und Hansestadt,1847253,6,51262,2021/02/25 23:00:00+00,02,{0F3E860C-5181-4D3F-A421-1D51F50315EA},2775.03947753773,1257,73.1356235447987,1351,3,"73,1",2,3.10951982826658,0.10017859908052
3,03,Niedersachsen,Land,7993608,9,162668,2021/02/25 23:00:00+00,03,{3FD77024-C29B-4843-9BE8-682AD48E60C9},2034.97594578068,4270,65.152056493138,5208,15,"65,2",3,29.8156067697764,6.34547245881216
4,04,Bremen,Freie Hansestadt,681202,5,17790,2021/02/25 23:00:00+00,04,{4132268B-54DE-4327-AC1E-760E915112F1},2611.56015396314,333,77.9504464167751,531,1,"78,0",4,2.4434099165342,0.0540986322033472
5,05,Nordrhein-Westfalen,Land,17947221,10,528690,2021/02/25 23:00:00+00,05,{561D658F-3EE5-46E3-BC95-3528C6558AB9},2945.80425571179,12958,63.9040439742732,11469,24,"63,9",5,19.7250153818911,4.413413308508
6,06,Hessen,Land,6288080,7,187011,2021/02/25 23:00:00+00,06,{93277AC4-E8FC-48C7-8940-028DC2ED66AF},2974.05567359194,5801,61.163343977812,3846,8,"61,2",6,15.9178246133033,2.68129889446109
7,07,Rheinland-Pfalz,Land,4093903,11,101435,2021/02/25 23:00:00+00,07,{E9B4296F-9BE2-4E53-9A58-CCF1396CB03D},2477.70892471072,3070,52.932372848111,2167,2,"52,9",7,13.1938203642167,2.48562050756341
8,08,Baden-Württemberg,Land,11100394,1,314625,2021/02/25 23:00:00+00,08,{80394DDF-C6A4-4A6E-BE8E-0259A81B22A9},2834.35885248758,8042,48.8270956868738,5420,8,"48,8",8,18.9961731044424,4.35421266002989
9,09,Bayern,Freistaat,13124737,2,433804,2021/02/25 23:00:00+00,09,{1FF920F4-62CD-4A4F-B8C9-F042F2A3E00A},3305.2395640385,12329,59.5059542907412,7810,24,"59,5",9,29.2832556594748,8.66111920110973
10,10,Saarland,Land,986887,12,28666,2021/02/25 23:00:00+00,10,{E3396A6F-8A30-4FDF-8DF7-DEF77DD38BEA},2904.68918933981,865,65.9649990323107,651,2,"66,0",10,4.22859886627026,0.3183791139877
11,11,Berlin,Land,3669491,3,128234,2021/02/25 23:00:00+00,11,{C7033073-2BB0-486B-97AF-5B3C639E7219},3494.5991147001,2797,52.4868435431508,1926,2,"52,5",11,2.68122936739323,0.11801687170816
12,12,Brandenburg,Land,2521893,4,75982,2021/02/25 23:00:00+00,12,{B560AF89-5895-4BE4-96F8-0F581CD8A858},3012.89547177458,2977,64.2771124706718,1621,7,"64,3",12,18.8795052312507,3.92195584983268
13,13,Mecklenburg-Vorpommern,Land,1608138,8,24130,2021/02/25 23:00:00+00,13,{A27F5628-E790-45BE-898D-F0A6841C0F7E},1500.49311688425,727,63.9870458878529,1029,5,"64,0",13,30.0401103158293,3.1428121816959
14,14,Sachsen,Freistaat,4071971,13,193105,2021/02/25 23:00:00+00,14,{256D2405-A7C8-4FEC-93DF-29F3C808CD25},4742.29801734836,7613,75.3197898511556,3067,4,"75,3",14,15.2497070411544,2.36506980586789
15,15,Sachsen-Anhalt,Land,2194782,14,59863,2021/02/25 23:00:00+00,15,{66106BBE-F04B-4F92-80E1-5B5B30DA25B5},2727.51462332022,2381,85.5210221334055,1877,12,"85,5",15,14.2172902910093,2.69041636236946
16,16,Thüringen,Freistaat,2133378,16,75430,2021/02/25 23:00:00+00,16,{3A3E2817-BB19-4F8C-8BCA-D8FF591140D4},3535.70722113006,2827,121.169338016985,2585,11,"121,2",16,15.0324529635839,2.07032354616438
