OBJECTID_1,LAN_ew_AGS,LAN_ew_GEN,LAN_ew_BEZ,LAN_ew_EWZ,OBJECTID,Fallzahl,Aktualisierung,AGS_TXT,GlobalID,faelle_100000_EW,Death,cases7_bl_per_100k,cases7_bl,death7_bl,cases7_bl_per_100k_txt,AdmUnitId,SHAPE_Length,SHAPE_Area
1,01,Schleswig-Holstein,Land,2903773,15,50694,2021/04/02 21:59:59+00,01,{FC5BA936-C95C-432C-8A33-9EB2F30B660F},1745.79762261031,1439,72.5263303984161,2106,2,"72,5",1,20.9191264620575,2.15954567681771
2,02,Hamburg,Freie und Hansestadt,1847253,6,62281,2021/04/02 21:59:59+00,02,{0F3E860C-5181-4D3F-A421-1D51F50315EA},3371.54683197158,1397,138.313484942236,2555,3,"138,3",2,3.10951982826658,0.10017859908052
3,03,Niedersachsen,Land,7993608,9,201023,2021/04/02 21:59:59+00,03,{3FD77024-C29B-4843-9BE8-682AD48E60C9},2514.79682266131,4898,102.031523187026,8156,6,"102,0",3,29.8156067697764,6.34547245881216
4,04,Bremen,Freie Hansestadt,681202,5,21268,2021/04/02 21:59:59+00,04,{4132268B-54DE-4327-AC1E-760E915112F1},3122.12823802631,406,120.228654642823,819,0,"120,2",4,2.4434099165342,0.0540986322033472
5,05,Nordrhein-Westfalen,Land,17947221,10,621574,2021/04/02 21:59:59+00,05,{561D658F-3EE5-46E3-BC95-3528C6558AB9},3463.3439906936,14296,127.975244746805,22968,19,"128,0",5,19.7250153818911,4.413413308508
6,06,Hessen,Land,6288080,7,223165,2021/04/02 21:59:59+00,06,{93277AC4-E8FC-48C7-8940-028DC2ED66AF},3549.01655195227,6365,144.034427042913,9057,15,"144,0",6,15.9178246133033,2.68129889446109
7,07,Rheinland-Pfalz,Land,4093903,11,118270,2021/04/02 21:59:59+00,07,{E9B4296F-9BE2-4E53-9A58-CCF1396CB03D},2888.93019692943,3337,107.354766344,4395,5,"107,4",7,13.1938203642167,2.48562050756341
8,08,Baden-Württemberg,Land,11100394,1,370273,2021/04/02 21:59:59+00,08,{80394DDF-C6A4-4A6E-BE8E-0259A81B22A9},3335.67439137746,8737,131.148497972234,14558,12,"131,1",8,18.9961731044424,4.35421266002989
9,09,Bayern,Freistaat,13124737,2,506786,2021/04/02 21:59:59+00,09,{1FF920F4-62CD-4A4F-B8C9-F042F2A3E00A},3861.30403984476,13302,137.183701281024,18005,16,"137,2",9,29.2832556594748,8.66111920110973
10,10,Saarland,Land,986887,12,32222,2021/04/02 21:59:59+00,10,{E3396A6F-8A30-4FDF-8DF7-DEF77DD38BEA},3265.0141302905,927,89.6759203434638,885,3,"89,7",10,4.22859886627026,0.3183791139877
11,11,Berlin,Land,3669491,3,147947,2021/04/02 21:59:59+00,11,{C7033073-2BB0-486B-97AF-5B3C639E7219},4031.81258654129,3080,116.85544398392,4288,4,"116,9",11,2.68122936739323,0.11801687170816
12,12,Brandenburg,Land,2521893,4,89709,2021/04/02 21:59:59+00,12,{B560AF89-5895-4BE4-96F8-0F581CD8A858},3557.20881100031,3313,144.930811894081,3655,3,"144,9",12,18.8795052312507,3.92195584983268
13,13,Mecklenburg-Vorpommern,Land,1608138,8,31263,2021/04/02 21:59:59+00,13,{A27F5628-E790-45BE-898D-F0A6841C0F7E},1944.04957783474,872,89.8554726024757,1445,3,"89,9",13,30.0401103158293,3.1428121816959
14,14,Sachsen,Freistaat,4071971,13,225140,2021/04/02 21:59:59+00,14,{256D2405-A7C8-4FEC-93DF-29F3C808CD25},5529.01776559804,8425,185.855940526099,7568,3,"185,9",14,15.2497070411544,2.36506980586789
15,15,Sachsen-Anhalt,Land,2194782,14,74565,2021/04/02 21:59:59+00,15,{66106BBE-F04B-4F92-80E1-5B5B30DA25B5},3397.37614031826,2727,163.569775950413,3590,6,"163,6",15,14.2172902910093,2.69041636236946
16,16,Thüringen,Freistaat,2133378,16,97010,2021/04/02 21:59:59+00,16,{3A3E2817-BB19-4F8C-8BCA-D8FF591140D4},4547.24854198365,3374,245.104243129909,5229,9,"245,1",16,15.0324529635839,2.07032354616438
