OBJECTID_1,LAN_ew_AGS,LAN_ew_GEN,LAN_ew_BEZ,LAN_ew_EWZ,OBJECTID,Fallzahl,Aktualisierung,AGS_TXT,GlobalID,faelle_100000_EW,Death,cases7_bl_per_100k,cases7_bl,death7_bl,cases7_bl_per_100k_txt,AdmUnitId,SHAPE_Length,SHAPE_Area
1,01,Schleswig-Holstein,Land,2903773,15,40041,2021/02/16 23:00:00+00,01,{FC5BA936-C95C-432C-8A33-9EB2F30B660F},1378.9301023186,1177,55.823922875514,1621,5,"55,8",1,20.9191264620575,2.15954567681771
2,02,Hamburg,Freie und Hansestadt,1847253,6,49319,2021/02/16 23:00:00+00,02,{0F3E860C-5181-4D3F-A421-1D51F50315EA},2669.85626765798,1202,58.5193257231143,1081,3,"58,5",2,3.10951982826658,0.10017859908052
3,03,Niedersachsen,Land,7993608,9,154900,2021/02/16 23:00:00+00,03,{3FD77024-C29B-4843-9BE8-682AD48E60C9},1937.79830084237,3908,62.8877473101008,5027,13,"62,9",3,29.8156067697764,6.34547245881216
4,04,Bremen,Freie Hansestadt,681202,5,17073,2021/02/16 23:00:00+00,04,{4132268B-54DE-4327-AC1E-760E915112F1},2506.30503140038,316,62.2429176661255,424,2,"62,2",4,2.4434099165342,0.0540986322033472
5,05,Nordrhein-Westfalen,Land,17947221,10,512879,2021/02/16 23:00:00+00,05,{561D658F-3EE5-46E3-BC95-3528C6558AB9},2857.70705113622,12342,56.0086712031907,10052,49,"56,0",5,19.7250153818911,4.413413308508
6,06,Hessen,Land,6288080,7,181523,2021/02/16 23:00:00+00,06,{93277AC4-E8FC-48C7-8940-028DC2ED66AF},2886.77943028715,5553,54.674876909963,3438,12,"54,7",6,15.9178246133033,2.68129889446109
7,07,Rheinland-Pfalz,Land,4093903,11,98391,2021/02/16 23:00:00+00,07,{E9B4296F-9BE2-4E53-9A58-CCF1396CB03D},2403.3544517298,2928,45.2624304972541,1853,7,"45,3",7,13.1938203642167,2.48562050756341
8,08,Baden-Württemberg,Land,11100394,1,307166,2021/02/16 23:00:00+00,08,{80394DDF-C6A4-4A6E-BE8E-0259A81B22A9},2767.16303943806,7837,43.5750298593005,4837,14,"43,6",8,18.9961731044424,4.35421266002989
9,09,Bayern,Freistaat,13124737,2,422813,2021/02/16 23:00:00+00,09,{1FF920F4-62CD-4A4F-B8C9-F042F2A3E00A},3221.49693361475,11849,54.5306164992106,7157,25,"54,5",9,29.2832556594748,8.66111920110973
10,10,Saarland,Land,986887,12,27723,2021/02/16 23:00:00+00,10,{E3396A6F-8A30-4FDF-8DF7-DEF77DD38BEA},2809.13620303034,830,61.3038777489216,605,3,"61,3",10,4.22859886627026,0.3183791139877
11,11,Berlin,Land,3669491,3,125274,2021/02/16 23:00:00+00,11,{C7033073-2BB0-486B-97AF-5B3C639E7219},3413.93397612911,2644,48.4535866146013,1778,11,"48,5",11,2.68122936739323,0.11801687170816
12,12,Brandenburg,Land,2521893,4,73673,2021/02/16 23:00:00+00,12,{B560AF89-5895-4BE4-96F8-0F581CD8A858},2921.33726530031,2850,71.6128717594283,1806,8,"71,6",12,18.8795052312507,3.92195584983268
13,13,Mecklenburg-Vorpommern,Land,1608138,8,22625,2021/02/16 23:00:00+00,13,{A27F5628-E790-45BE-898D-F0A6841C0F7E},1406.90662119793,657,64.0492296059169,1030,5,"64,0",13,30.0401103158293,3.1428121816959
14,14,Sachsen,Freistaat,4071971,13,188254,2021/02/16 23:00:00+00,14,{256D2405-A7C8-4FEC-93DF-29F3C808CD25},4623.16652058671,7246,62.6477939061943,2551,3,"62,6",14,15.2497070411544,2.36506980586789
15,15,Sachsen-Anhalt,Land,2194782,14,57085,2021/02/16 23:00:00+00,15,{66106BBE-F04B-4F92-80E1-5B5B30DA25B5},2600.94168805831,2170,81.830450586892,1796,15,"81,8",15,14.2172902910093,2.69041636236946
16,16,Thüringen,Freistaat,2133378,16,71660,2021/02/16 23:00:00+00,16,{3A3E2817-BB19-4F8C-8BCA-D8FF591140D4},3358.99217110142,2655,111.560164209062,2380,18,"111,6",16,15.0324529635839,2.07032354616438
