OBJECTID_1,LAN_ew_AGS,LAN_ew_GEN,LAN_ew_BEZ,LAN_ew_EWZ,OBJECTID,Fallzahl,Aktualisierung,AGS_TXT,GlobalID,faelle_100000_EW,Death,cases7_bl_per_100k,cases7_bl,death7_bl,cases7_bl_per_100k_txt,AdmUnitId,SHAPE_Length,SHAPE_Area
1,01,Schleswig-Holstein,Land,2903773,15,40537,2021/02/18 23:00:00+00,01,{FC5BA936-C95C-432C-8A33-9EB2F30B660F},1396.01132733172,1197,49.1429598663532,1427,1,"49,1",1,20.9191264620575,2.15954567681771
2,02,Hamburg,Freie und Hansestadt,1847253,6,49747,2021/02/18 23:00:00+00,02,{0F3E860C-5181-4D3F-A421-1D51F50315EA},2693.02580642717,1210,60.0350899416593,1109,5,"60,0",2,3.10951982826658,0.10017859908052
3,03,Niedersachsen,Land,7993608,9,156578,2021/02/18 23:00:00+00,03,{3FD77024-C29B-4843-9BE8-682AD48E60C9},1958.79007326854,4009,57.3082893231692,4581,13,"57,3",3,29.8156067697764,6.34547245881216
4,04,Bremen,Freie Hansestadt,681202,5,17170,2021/02/18 23:00:00+00,04,{4132268B-54DE-4327-AC1E-760E915112F1},2520.54456680985,317,55.1965496284509,376,2,"55,2",4,2.4434099165342,0.0540986322033472
5,05,Nordrhein-Westfalen,Land,17947221,10,517037,2021/02/18 23:00:00+00,05,{561D658F-3EE5-46E3-BC95-3528C6558AB9},2880.87498337486,12520,58.008980889019,10411,44,"58,0",5,19.7250153818911,4.413413308508
6,06,Hessen,Land,6288080,7,183111,2021/02/18 23:00:00+00,06,{93277AC4-E8FC-48C7-8940-028DC2ED66AF},2912.03356191397,5633,56.5514433658605,3556,14,"56,6",6,15.9178246133033,2.68129889446109
7,07,Rheinland-Pfalz,Land,4093903,11,99205,2021/02/18 23:00:00+00,07,{E9B4296F-9BE2-4E53-9A58-CCF1396CB03D},2423.23767807884,2962,47.1677028009701,1931,7,"47,2",7,13.1938203642167,2.48562050756341
8,08,Baden-Württemberg,Land,11100394,1,309004,2021/02/18 23:00:00+00,08,{80394DDF-C6A4-4A6E-BE8E-0259A81B22A9},2783.72101026324,7895,41.1246663857157,4565,13,"41,1",8,18.9961731044424,4.35421266002989
9,09,Bayern,Freistaat,13124737,2,425826,2021/02/18 23:00:00+00,09,{1FF920F4-62CD-4A4F-B8C9-F042F2A3E00A},3244.45358409848,12042,54.6525237039036,7173,19,"54,7",9,29.2832556594748,8.66111920110973
10,10,Saarland,Land,986887,12,27938,2021/02/18 23:00:00+00,10,{E3396A6F-8A30-4FDF-8DF7-DEF77DD38BEA},2830.921878594,840,51.6776490114876,510,3,"51,7",10,4.22859886627026,0.3183791139877
11,11,Berlin,Land,3669491,3,126201,2021/02/18 23:00:00+00,11,{C7033073-2BB0-486B-97AF-5B3C639E7219},3439.19633540456,2702,50.7427324389132,1862,12,"50,7",11,2.68122936739323,0.11801687170816
12,12,Brandenburg,Land,2521893,4,74358,2021/02/18 23:00:00+00,12,{B560AF89-5895-4BE4-96F8-0F581CD8A858},2948.49940104517,2893,66.3390556221061,1673,10,"66,3",12,18.8795052312507,3.92195584983268
13,13,Mecklenburg-Vorpommern,Land,1608138,8,23020,2021/02/18 23:00:00+00,13,{A27F5628-E790-45BE-898D-F0A6841C0F7E},1431.46918983321,680,64.9819853768769,1045,8,"65,0",13,30.0401103158293,3.1428121816959
14,14,Sachsen,Freistaat,4071971,13,189534,2021/02/18 23:00:00+00,14,{256D2405-A7C8-4FEC-93DF-29F3C808CD25},4654.60092913235,7351,65.9631416824923,2686,3,"66,0",14,15.2497070411544,2.36506980586789
15,15,Sachsen-Anhalt,Land,2194782,14,57805,2021/02/18 23:00:00+00,15,{66106BBE-F04B-4F92-80E1-5B5B30DA25B5},2633.74676847177,2253,85.2476464632934,1871,14,"85,2",15,14.2172902910093,2.69041636236946
16,16,Thüringen,Freistaat,2133378,16,72648,2021/02/18 23:00:00+00,16,{3A3E2817-BB19-4F8C-8BCA-D8FF591140D4},3405.30370145375,2702,116.716306252338,2490,11,"116,7",16,15.0324529635839,2.07032354616438
