OBJECTID_1,LAN_ew_AGS,LAN_ew_GEN,LAN_ew_BEZ,LAN_ew_EWZ,OBJECTID,Fallzahl,Aktualisierung,AGS_TXT,GlobalID,faelle_100000_EW,Death,cases7_bl_per_100k,cases7_bl,death7_bl,cases7_bl_per_100k_txt,SHAPE_Length,SHAPE_Area
1,01,Schleswig-Holstein,Land,2903773,15,35037,2021/01/27 23:00:00,01,{FC5BA936-C95C-432C-8A33-9EB2F30B660F},1206.60258222664,815,93.5679200819072,2717,15,"93,6",20.9191264620575,2.15954567681771
2,02,Hamburg,Freie und Hansestadt,1847253,6,45535,2021/01/27 23:00:00,02,{0F3E860C-5181-4D3F-A421-1D51F50315EA},2465.01156040889,1029,83.9083763837439,1550,4,"83,9",3.10951982826658,0.10017859908052
3,03,Niedersachsen,Land,7993608,9,139029,2021/01/27 23:00:00,03,{3FD77024-C29B-4843-9BE8-682AD48E60C9},1739.25216247782,3154,76.3610124489467,6104,29,"76,4",29.8156067697764,6.34547245881216
4,04,Bremen,Freie Hansestadt,681202,5,15639,2021/01/27 23:00:00,04,{4132268B-54DE-4327-AC1E-760E915112F1},2295.79478627485,259,72.8124697226373,496,0,"72,8",2.4434099165342,0.0540986322033472
5,05,Nordrhein-Westfalen,Land,17947221,10,478263,2021/01/27 23:00:00,05,{561D658F-3EE5-46E3-BC95-3528C6558AB9},2664.83039351886,10457,93.117480416606,16712,70,"93,1",19.7250153818911,4.413413308508
6,06,Hessen,Land,6288080,7,168871,2021/01/27 23:00:00,06,{93277AC4-E8FC-48C7-8940-028DC2ED66AF},2685.57333876159,4676,99.601150112594,6263,42,"99,6",15.9178246133033,2.68129889446109
7,07,Rheinland-Pfalz,Land,4093903,11,91099,2021/01/27 23:00:00,07,{E9B4296F-9BE2-4E53-9A58-CCF1396CB03D},2225.23591790035,2417,90.0607562025774,3687,28,"90,1",13.1938203642167,2.48562050756341
8,08,Baden-Württemberg,Land,11100394,1,288818,2021/01/27 23:00:00,08,{80394DDF-C6A4-4A6E-BE8E-0259A81B22A9},2601.87160924198,6871,79.0062046446279,8770,39,"79,0",18.9961731044424,4.35421266002989
9,09,Bayern,Freistaat,13124737,2,396600,2021/01/27 23:00:00,09,{1FF920F4-62CD-4A4F-B8C9-F042F2A3E00A},3021.77483632624,10116,97.0457541358734,12737,48,"97,0",29.2832556594748,8.66111920110973
10,10,Saarland,Land,986887,12,24941,2021/01/27 23:00:00,10,{E3396A6F-8A30-4FDF-8DF7-DEF77DD38BEA},2527.23969410885,711,107.205789517949,1058,10,"107,2",4.22859886627026,0.3183791139877
11,11,Berlin,Land,3669491,3,118433,2021/01/27 23:00:00,11,{C7033073-2BB0-486B-97AF-5B3C639E7219},3227.50485012772,2164,89.1949319401519,3273,13,"89,2",2.68122936739323,0.11801687170816
12,12,Brandenburg,Land,2521893,4,66370,2021/01/27 23:00:00,12,{B560AF89-5895-4BE4-96F8-0F581CD8A858},2631.75321078254,2161,151.394210618769,3818,43,"151,4",18.8795052312507,3.92195584983268
13,13,Mecklenburg-Vorpommern,Land,1608138,8,19197,2021/01/27 23:00:00,13,{A27F5628-E790-45BE-898D-F0A6841C0F7E},1193.74083567455,409,100.613255827547,1618,9,"100,6",30.0401103158293,3.1428121816959
14,14,Sachsen,Freistaat,4071971,13,177121,2021/01/27 23:00:00,14,{256D2405-A7C8-4FEC-93DF-29F3C808CD25},4349.76084063467,6002,129.961632830882,5292,16,"130,0",15.2497070411544,2.36506980586789
15,15,Sachsen-Anhalt,Land,2194782,14,50200,2021/01/27 23:00:00,15,{66106BBE-F04B-4F92-80E1-5B5B30DA25B5},2287.24310660467,1604,173.958051414674,3818,78,"174,0",14.2172902910093,2.69041636236946
16,16,Thüringen,Freistaat,2133378,16,63675,2021/01/27 23:00:00,16,{3A3E2817-BB19-4F8C-8BCA-D8FF591140D4},2984.70313277816,2068,174.090104988427,3714,24,"174,1",15.0324529635839,2.07032354616438
