OBJECTID_1,LAN_ew_AGS,LAN_ew_GEN,LAN_ew_BEZ,LAN_ew_EWZ,OBJECTID,Fallzahl,Aktualisierung,AGS_TXT,GlobalID,faelle_100000_EW,Death,cases7_bl_per_100k,cases7_bl,death7_bl,cases7_bl_per_100k_txt,AdmUnitId,SHAPE_Length,SHAPE_Area
1,01,Schleswig-Holstein,Land,2903773,15,40796,2021/02/19 23:00:00+00,01,{FC5BA936-C95C-432C-8A33-9EB2F30B660F},1404.93075732848,1205,50.4171641516055,1464,3,"50,4",1,20.9191264620575,2.15954567681771
2,02,Hamburg,Freie und Hansestadt,1847253,6,49901,2021/02/19 23:00:00+00,02,{0F3E860C-5181-4D3F-A421-1D51F50315EA},2701.36250962916,1216,56.9494270681926,1052,3,"56,9",2,3.10951982826658,0.10017859908052
3,03,Niedersachsen,Land,7993608,9,157928,2021/02/19 23:00:00+00,03,{3FD77024-C29B-4843-9BE8-682AD48E60C9},1975.67856717517,4084,60.9361880142234,4871,11,"60,9",3,29.8156067697764,6.34547245881216
4,04,Bremen,Freie Hansestadt,681202,5,17340,2021/02/19 23:00:00+00,04,{4132268B-54DE-4327-AC1E-760E915112F1},2545.50045360994,321,70.9040783791005,483,3,"70,9",4,2.4434099165342,0.0540986322033472
5,05,Nordrhein-Westfalen,Land,17947221,10,518759,2021/02/19 23:00:00+00,05,{561D658F-3EE5-46E3-BC95-3528C6558AB9},2890.46978359491,12595,57.9031149167885,10392,43,"57,9",5,19.7250153818911,4.413413308508
6,06,Hessen,Land,6288080,7,183697,2021/02/19 23:00:00+00,06,{93277AC4-E8FC-48C7-8940-028DC2ED66AF},2921.35278177122,5642,57.3465986437832,3606,16,"57,3",6,15.9178246133033,2.68129889446109
7,07,Rheinland-Pfalz,Land,4093903,11,99553,2021/02/19 23:00:00+00,07,{E9B4296F-9BE2-4E53-9A58-CCF1396CB03D},2431.73812374157,2989,48.1691920888209,1972,8,"48,2",7,13.1938203642167,2.48562050756341
8,08,Baden-Württemberg,Land,11100394,1,309999,2021/02/19 23:00:00+00,08,{80394DDF-C6A4-4A6E-BE8E-0259A81B22A9},2792.68465605815,7926,41.9174310389343,4653,16,"41,9",8,18.9961731044424,4.35421266002989
9,09,Bayern,Freistaat,13124737,2,427177,2021/02/19 23:00:00+00,09,{1FF920F4-62CD-4A4F-B8C9-F042F2A3E00A},3254.74712369475,12099,55.6354005417404,7302,13,"55,6",9,29.2832556594748,8.66111920110973
10,10,Saarland,Land,986887,12,28056,2021/02/19 23:00:00+00,10,{E3396A6F-8A30-4FDF-8DF7-DEF77DD38BEA},2842.87866797313,848,52.3869500763512,517,2,"52,4",10,4.22859886627026,0.3183791139877
11,11,Berlin,Land,3669491,3,126573,2021/02/19 23:00:00+00,11,{C7033073-2BB0-486B-97AF-5B3C639E7219},3449.33398119794,2720,52.18707444711,1915,8,"52,2",11,2.68122936739323,0.11801687170816
12,12,Brandenburg,Land,2521893,4,74598,2021/02/19 23:00:00+00,12,{B560AF89-5895-4BE4-96F8-0F581CD8A858},2958.01606174409,2907,64.2771124706718,1621,10,"64,3",12,18.8795052312507,3.92195584983268
13,13,Mecklenburg-Vorpommern,Land,1608138,8,23218,2021/02/19 23:00:00+00,13,{A27F5628-E790-45BE-898D-F0A6841C0F7E},1443.78156600988,685,67.2827829452447,1082,7,"67,3",13,30.0401103158293,3.1428121816959
14,14,Sachsen,Freistaat,4071971,13,189971,2021/02/19 23:00:00+00,14,{256D2405-A7C8-4FEC-93DF-29F3C808CD25},4665.33283267489,7443,64.7597932303545,2637,4,"64,8",14,15.2497070411544,2.36506980586789
15,15,Sachsen-Anhalt,Land,2194782,14,58168,2021/02/19 23:00:00+00,15,{66106BBE-F04B-4F92-80E1-5B5B30DA25B5},2650.28599651355,2285,87.2068387657635,1914,16,"87,2",15,14.2172902910093,2.69041636236946
16,16,Thüringen,Freistaat,2133378,16,73149,2021/02/19 23:00:00+00,16,{3A3E2817-BB19-4F8C-8BCA-D8FF591140D4},3428.78758475994,2731,120.04436157118,2561,17,"120,0",16,15.0324529635839,2.07032354616438
