OBJECTID_1,LAN_ew_AGS,LAN_ew_GEN,LAN_ew_BEZ,LAN_ew_EWZ,OBJECTID,Fallzahl,Aktualisierung,AGS_TXT,GlobalID,faelle_100000_EW,Death,cases7_bl_per_100k,cases7_bl,death7_bl,cases7_bl_per_100k_txt,AdmUnitId,SHAPE_Length,SHAPE_Area
1,01,Schleswig-Holstein,Land,2903773,15,37985,2021/02/07 23:00:00+00,01,{FC5BA936-C95C-432C-8A33-9EB2F30B660F},1308.12566960296,1016,61.4373093213554,1784,8,"61,4",1,20.9191264620575,2.15954567681771
2,02,Hamburg,Freie und Hansestadt,1847253,6,47698,2021/02/07 23:00:00+00,02,{0F3E860C-5181-4D3F-A421-1D51F50315EA},2582.10434629149,1145,64.2034415426582,1186,2,"64,2",2,3.10951982826658,0.10017859908052
3,03,Niedersachsen,Land,7993608,9,148580,2021/02/07 23:00:00+00,03,{3FD77024-C29B-4843-9BE8-682AD48E60C9},1858.73512936837,3596,69.1052150668384,5524,21,"69,1",3,29.8156067697764,6.34547245881216
4,04,Bremen,Freie Hansestadt,681202,5,16543,2021/02/07 23:00:00+00,04,{4132268B-54DE-4327-AC1E-760E915112F1},2428.50138431772,290,81.3268311014941,554,0,"81,3",4,2.4434099165342,0.0540986322033472
5,05,Nordrhein-Westfalen,Land,17947221,10,500268,2021/02/07 23:00:00+00,05,{561D658F-3EE5-46E3-BC95-3528C6558AB9},2787.43990504157,11565,72.3677498594351,12988,38,"72,4",5,19.7250153818911,4.413413308508
6,06,Hessen,Land,6288080,7,177127,2021/02/07 23:00:00+00,06,{93277AC4-E8FC-48C7-8940-028DC2ED66AF},2816.86937825219,5182,80.1834582257223,5042,26,"80,2",6,15.9178246133033,2.68129889446109
7,07,Rheinland-Pfalz,Land,4093903,11,95727,2021/02/07 23:00:00+00,07,{E9B4296F-9BE2-4E53-9A58-CCF1396CB03D},2338.2820745875,2732,60.9687137189132,2496,13,"61,0",7,13.1938203642167,2.48562050756341
8,08,Baden-Württemberg,Land,11100394,1,300693,2021/02/07 23:00:00+00,08,{80394DDF-C6A4-4A6E-BE8E-0259A81B22A9},2708.84979398029,7426,60.790634999082,6748,15,"60,8",8,18.9961731044424,4.35421266002989
9,09,Bayern,Freistaat,13124737,2,413863,2021/02/07 23:00:00+00,09,{1FF920F4-62CD-4A4F-B8C9-F042F2A3E00A},3153.30509098963,11146,76.6948701524457,10066,49,"76,7",9,29.2832556594748,8.66111920110973
10,10,Saarland,Land,986887,12,26920,2021/02/07 23:00:00+00,10,{E3396A6F-8A30-4FDF-8DF7-DEF77DD38BEA},2727.76923801813,786,112.272225695546,1108,3,"112,3",10,4.22859886627026,0.3183791139877
11,11,Berlin,Land,3669491,3,122606,2021/02/07 23:00:00+00,11,{C7033073-2BB0-486B-97AF-5B3C639E7219},3341.22634447121,2471,71.3995483297275,2620,12,"71,4",11,2.68122936739323,0.11801687170816
12,12,Brandenburg,Land,2521893,4,71035,2021/02/07 23:00:00+00,12,{B560AF89-5895-4BE4-96F8-0F581CD8A858},2816.73330311794,2630,88.029111465078,2220,18,"88,0",12,18.8795052312507,3.92195584983268
13,13,Mecklenburg-Vorpommern,Land,1608138,8,21288,2021/02/07 23:00:00+00,13,{A27F5628-E790-45BE-898D-F0A6841C0F7E},1323.76699014637,552,84.3211216947799,1356,9,"84,3",13,30.0401103158293,3.1428121816959
14,14,Sachsen,Freistaat,4071971,13,184791,2021/02/07 23:00:00+00,14,{256D2405-A7C8-4FEC-93DF-29F3C808CD25},4538.12171059175,6794,100.197177239229,4080,9,"100,2",14,15.2497070411544,2.36506980586789
15,15,Sachsen-Anhalt,Land,2194782,14,54782,2021/02/07 23:00:00+00,15,{66106BBE-F04B-4F92-80E1-5B5B30DA25B5},2496.01099334695,1978,113.633153543268,2494,66,"113,6",15,14.2172902910093,2.69041636236946
16,16,Thüringen,Freistaat,2133378,16,68639,2021/02/07 23:00:00+00,16,{3A3E2817-BB19-4F8C-8BCA-D8FF591140D4},3217.38576098563,2366,137.95023666692,2943,15,"138,0",16,15.0324529635839,2.07032354616438
