OBJECTID_1,LAN_ew_AGS,LAN_ew_GEN,LAN_ew_BEZ,LAN_ew_EWZ,OBJECTID,Fallzahl,Aktualisierung,AGS_TXT,GlobalID,faelle_100000_EW,Death,cases7_bl_per_100k,cases7_bl,death7_bl,cases7_bl_per_100k_txt,AdmUnitId,SHAPE_Length,SHAPE_Area
1,01,Schleswig-Holstein,Land,2903773,15,38136,2021/02/08 23:00:00+00,01,{FC5BA936-C95C-432C-8A33-9EB2F30B660F},1313.32580060494,1038,62.2293822554311,1807,8,"62,2",1,20.9191264620575,2.15954567681771
2,02,Hamburg,Freie und Hansestadt,1847253,6,47884,2021/02/08 23:00:00+00,02,{0F3E860C-5181-4D3F-A421-1D51F50315EA},2592.17335145754,1148,62.1463329603471,1148,1,"62,1",2,3.10951982826658,0.10017859908052
3,03,Niedersachsen,Land,7993608,9,148877,2021/02/08 23:00:00+00,03,{3FD77024-C29B-4843-9BE8-682AD48E60C9},1862.45059802782,3635,67.3538156987433,5384,23,"67,4",3,29.8156067697764,6.34547245881216
4,04,Bremen,Freie Hansestadt,681202,5,16569,2021/02/08 23:00:00+00,04,{4132268B-54DE-4327-AC1E-760E915112F1},2432.31816700479,293,79.5652390920755,542,0,"79,6",4,2.4434099165342,0.0540986322033472
5,05,Nordrhein-Westfalen,Land,17947221,10,500500,2021/02/08 23:00:00+00,05,{561D658F-3EE5-46E3-BC95-3528C6558AB9},2788.73258428143,11595,67.1803172201423,12057,28,"67,2",5,19.7250153818911,4.413413308508
6,06,Hessen,Land,6288080,7,177331,2021/02/08 23:00:00+00,06,{93277AC4-E8FC-48C7-8940-028DC2ED66AF},2820.11361178611,5229,76.9710309029147,4840,29,"77,0",6,15.9178246133033,2.68129889446109
7,07,Rheinland-Pfalz,Land,4093903,11,96076,2021/02/08 23:00:00+00,07,{E9B4296F-9BE2-4E53-9A58-CCF1396CB03D},2346.80694681823,2764,63.0449719986038,2581,12,"63,0",7,13.1938203642167,2.48562050756341
8,08,Baden-Württemberg,Land,11100394,1,301091,2021/02/08 23:00:00+00,08,{80394DDF-C6A4-4A6E-BE8E-0259A81B22A9},2712.43525229825,7509,59.592479330013,6615,15,"59,6",8,18.9961731044424,4.35421266002989
9,09,Bayern,Freistaat,13124737,2,414332,2021/02/08 23:00:00+00,09,{1FF920F4-62CD-4A4F-B8C9-F042F2A3E00A},3156.87849592719,11226,74.6757820747189,9801,45,"74,7",9,29.2832556594748,8.66111920110973
10,10,Saarland,Land,986887,12,26952,2021/02/08 23:00:00+00,10,{E3396A6F-8A30-4FDF-8DF7-DEF77DD38BEA},2731.01175717179,787,109.536350159643,1081,3,"109,5",10,4.22859886627026,0.3183791139877
11,11,Berlin,Land,3669491,3,122890,2021/02/08 23:00:00+00,11,{C7033073-2BB0-486B-97AF-5B3C639E7219},3348.96583749626,2486,61.9704476724429,2274,8,"62,0",11,2.68122936739323,0.11801687170816
12,12,Brandenburg,Land,2521893,4,71303,2021/02/08 23:00:00+00,12,{B560AF89-5895-4BE4-96F8-0F581CD8A858},2827.3602408984,2668,87.3946674184829,2204,15,"87,4",12,18.8795052312507,3.92195584983268
13,13,Mecklenburg-Vorpommern,Land,1608138,8,21351,2021/02/08 23:00:00+00,13,{A27F5628-E790-45BE-898D-F0A6841C0F7E},1327.6845643844,579,82.206875280604,1322,15,"82,2",13,30.0401103158293,3.1428121816959
14,14,Sachsen,Freistaat,4071971,13,184880,2021/02/08 23:00:00+00,14,{256D2405-A7C8-4FEC-93DF-29F3C808CD25},4540.30738431094,6816,91.2580173090624,3716,5,"91,3",14,15.2497070411544,2.36506980586789
15,15,Sachsen-Anhalt,Land,2194782,14,54897,2021/02/08 23:00:00+00,15,{66106BBE-F04B-4F92-80E1-5B5B30DA25B5},2501.25069369076,1990,106.069760003499,2328,53,"106,1",15,14.2172902910093,2.69041636236946
16,16,Thüringen,Freistaat,2133378,16,68855,2021/02/08 23:00:00+00,16,{3A3E2817-BB19-4F8C-8BCA-D8FF591140D4},3227.51054899788,2393,134.856551440954,2877,18,"134,9",16,15.0324529635839,2.07032354616438
