OBJECTID_1,LAN_ew_AGS,LAN_ew_GEN,LAN_ew_BEZ,LAN_ew_EWZ,OBJECTID,Fallzahl,Aktualisierung,AGS_TXT,GlobalID,faelle_100000_EW,Death,cases7_bl_per_100k,cases7_bl,death7_bl,cases7_bl_per_100k_txt,AdmUnitId,SHAPE_Length,SHAPE_Area
1,01,Schleswig-Holstein,Land,2903773,15,39351,2021/02/12 23:00:00+00,01,{FC5BA936-C95C-432C-8A33-9EB2F30B660F},1355.16791429633,1119,59.9564773141702,1741,9,"60,0",1,20.9191264620575,2.15954567681771
2,02,Hamburg,Freie und Hansestadt,1847253,6,48686,2021/02/12 23:00:00+00,02,{0F3E860C-5181-4D3F-A421-1D51F50315EA},2635.58916943158,1188,59.7102833233997,1103,2,"59,7",2,3.10951982826658,0.10017859908052
3,03,Niedersachsen,Land,7993608,9,152454,2021/02/12 23:00:00+00,03,{3FD77024-C29B-4843-9BE8-682AD48E60C9},1907.19885188265,3812,59.9103683843391,4789,14,"59,9",3,29.8156067697764,6.34547245881216
4,04,Bremen,Freie Hansestadt,681202,5,16858,2021/02/12 23:00:00+00,04,{4132268B-54DE-4327-AC1E-760E915112F1},2474.74317456496,307,59.8941283202339,408,0,"59,9",4,2.4434099165342,0.0540986322033472
5,05,Nordrhein-Westfalen,Land,17947221,10,508203,2021/02/12 23:00:00+00,05,{561D658F-3EE5-46E3-BC95-3528C6558AB9},2831.65287818097,12064,57.0338995658436,10236,46,"57,0",5,19.7250153818911,4.413413308508
6,06,Hessen,Land,6288080,7,180050,2021/02/12 23:00:00+00,06,{93277AC4-E8FC-48C7-8940-028DC2ED66AF},2863.35415579954,5434,60.3363824887724,3794,23,"60,3",6,15.9178246133033,2.68129889446109
7,07,Rheinland-Pfalz,Land,4093903,11,97521,2021/02/12 23:00:00+00,07,{E9B4296F-9BE2-4E53-9A58-CCF1396CB03D},2382.10333757297,2873,50.9782474084022,2087,6,"51,0",7,13.1938203642167,2.48562050756341
8,08,Baden-Württemberg,Land,11100394,1,305024,2021/02/12 23:00:00+00,08,{80394DDF-C6A4-4A6E-BE8E-0259A81B22A9},2747.86642708358,7717,51.0432332401895,5666,24,"51,0",8,18.9961731044424,4.35421266002989
9,09,Bayern,Freistaat,13124737,2,419644,2021/02/12 23:00:00+00,09,{1FF920F4-62CD-4A4F-B8C9-F042F2A3E00A},3197.35168788525,11645,60.2602551197788,7909,27,"60,3",9,29.2832556594748,8.66111920110973
10,10,Saarland,Land,986887,12,27514,2021/02/12 23:00:00+00,10,{E3396A6F-8A30-4FDF-8DF7-DEF77DD38BEA},2787.95849980798,814,75.9965426639524,750,1,"76,0",10,4.22859886627026,0.3183791139877
11,11,Berlin,Land,3669491,3,124518,2021/02/12 23:00:00+00,11,{C7033073-2BB0-486B-97AF-5B3C639E7219},3393.33166371031,2598,57.3649042878154,2105,9,"57,4",11,2.68122936739323,0.11801687170816
12,12,Brandenburg,Land,2521893,4,72853,2021/02/12 23:00:00+00,12,{B560AF89-5895-4BE4-96F8-0F581CD8A858},2888.82200791231,2783,73.0403708642674,1842,16,"73,0",12,18.8795052312507,3.92195584983268
13,13,Mecklenburg-Vorpommern,Land,1608138,8,22107,2021/02/12 23:00:00+00,13,{A27F5628-E790-45BE-898D-F0A6841C0F7E},1374.69545524078,626,64.1735970420449,1032,6,"64,2",13,30.0401103158293,3.1428121816959
14,14,Sachsen,Freistaat,4071971,13,187061,2021/02/12 23:00:00+00,14,{256D2405-A7C8-4FEC-93DF-29F3C808CD25},4593.86866949691,7106,68.3698385867679,2784,8,"68,4",14,15.2497070411544,2.36506980586789
15,15,Sachsen-Anhalt,Land,2194782,14,56131,2021/02/12 23:00:00+00,15,{66106BBE-F04B-4F92-80E1-5B5B30DA25B5},2557.47495651049,2090,75.4061223392574,1655,18,"75,4",15,14.2172902910093,2.69041636236946
16,16,Thüringen,Freistaat,2133378,16,70472,2021/02/12 23:00:00+00,16,{3A3E2817-BB19-4F8C-8BCA-D8FF591140D4},3303.30583703404,2566,98.7635571380224,2107,10,"98,8",16,15.0324529635839,2.07032354616438
