OBJECTID_1,LAN_ew_AGS,LAN_ew_GEN,LAN_ew_BEZ,LAN_ew_EWZ,OBJECTID,Fallzahl,Aktualisierung,AGS_TXT,GlobalID,faelle_100000_EW,Death,cases7_bl_per_100k,cases7_bl,death7_bl,cases7_bl_per_100k_txt,AdmUnitId,SHAPE_Length,SHAPE_Area
1,01,Schleswig-Holstein,Land,2903773,15,37893,2021/02/06 23:00:00+00,01,{FC5BA936-C95C-432C-8A33-9EB2F30B660F},1304.95737786666,1012,64.4334112893811,1871,8,"64,4",1,20.9191264620575,2.15954567681771
2,02,Hamburg,Freie und Hansestadt,1847253,6,47582,2021/02/06 23:00:00+00,02,{0F3E860C-5181-4D3F-A421-1D51F50315EA},2575.82475167181,1143,63.4996938697623,1173,2,"63,5",2,3.10951982826658,0.10017859908052
3,03,Niedersachsen,Land,7993608,9,148108,2021/02/06 23:00:00+00,03,{3FD77024-C29B-4843-9BE8-682AD48E60C9},1852.83041149879,3581,66.3530160598318,5304,21,"66,4",3,29.8156067697764,6.34547245881216
4,04,Bremen,Freie Hansestadt,681202,5,16494,2021/02/06 23:00:00+00,04,{4132268B-54DE-4327-AC1E-760E915112F1},2421.30821694593,286,78.0972457508933,532,0,"78,1",4,2.4434099165342,0.0540986322033472
5,05,Nordrhein-Westfalen,Land,17947221,10,499455,2021/02/06 23:00:00+00,05,{561D658F-3EE5-46E3-BC95-3528C6558AB9},2782.90995580876,11540,73.353974969161,13165,45,"73,4",5,19.7250153818911,4.413413308508
6,06,Hessen,Land,6288080,7,176931,2021/02/06 23:00:00+00,06,{93277AC4-E8FC-48C7-8940-028DC2ED66AF},2813.75236956273,5165,80.6923576035928,5074,26,"80,7",6,15.9178246133033,2.68129889446109
7,07,Rheinland-Pfalz,Land,4093903,11,95437,2021/02/06 23:00:00+00,07,{E9B4296F-9BE2-4E53-9A58-CCF1396CB03D},2331.19836986856,2727,60.1626369750334,2463,16,"60,2",7,13.1938203642167,2.48562050756341
8,08,Baden-Württemberg,Land,11100394,1,300232,2021/02/06 23:00:00+00,08,{80394DDF-C6A4-4A6E-BE8E-0259A81B22A9},2704.69678824013,7422,60.8356784452876,6753,15,"60,8",8,18.9961731044424,4.35421266002989
9,09,Bayern,Freistaat,13124737,2,413008,2021/02/06 23:00:00+00,09,{1FF920F4-62CD-4A4F-B8C9-F042F2A3E00A},3146.79067473885,11126,76.1996221333807,10001,47,"76,2",9,29.2832556594748,8.66111920110973
10,10,Saarland,Land,986887,12,26889,2021/02/06 23:00:00+00,10,{E3396A6F-8A30-4FDF-8DF7-DEF77DD38BEA},2724.62804758802,783,115.514744849208,1140,3,"115,5",10,4.22859886627026,0.3183791139877
11,11,Berlin,Land,3669491,3,122456,2021/02/06 23:00:00+00,11,{C7033073-2BB0-486B-97AF-5B3C639E7219},3337.13858407065,2467,68.974143825397,2531,13,"69,0",11,2.68122936739323,0.11801687170816
12,12,Brandenburg,Land,2521893,4,70930,2021/02/06 23:00:00+00,12,{B560AF89-5895-4BE4-96F8-0F581CD8A858},2812.56976406215,2629,89.3376523111805,2253,19,"89,3",12,18.8795052312507,3.92195584983268
13,13,Mecklenburg-Vorpommern,Land,1608138,8,21207,2021/02/06 23:00:00+00,13,{A27F5628-E790-45BE-898D-F0A6841C0F7E},1318.73010898318,544,84.8185914392919,1364,11,"84,8",13,30.0401103158293,3.1428121816959
14,14,Sachsen,Freistaat,4071971,13,184334,2021/02/06 23:00:00+00,14,{256D2405-A7C8-4FEC-93DF-29F3C808CD25},4526.89864441569,6763,95.5311322207354,3890,8,"95,5",14,15.2497070411544,2.36506980586789
15,15,Sachsen-Anhalt,Land,2194782,14,54592,2021/02/06 23:00:00+00,15,{66106BBE-F04B-4F92-80E1-5B5B30DA25B5},2487.35409712673,1970,113.724278766638,2496,65,"113,7",15,14.2172902910093,2.69041636236946
16,16,Thüringen,Freistaat,2133378,16,68462,2021/02/06 23:00:00+00,16,{3A3E2817-BB19-4F8C-8BCA-D8FF591140D4},3209.08905969781,2359,135.231543589556,2885,20,"135,2",16,15.0324529635839,2.07032354616438
