OBJECTID_1,LAN_ew_AGS,LAN_ew_GEN,LAN_ew_BEZ,LAN_ew_EWZ,OBJECTID,Fallzahl,Aktualisierung,AGS_TXT,GlobalID,faelle_100000_EW,Death,cases7_bl_per_100k,cases7_bl,death7_bl,cases7_bl_per_100k_txt,AdmUnitId,SHAPE_Length,SHAPE_Area
1,01,Schleswig-Holstein,Land,2903773,15,49996,2021/03/31 21:59:59+00,01,{FC5BA936-C95C-432C-8A33-9EB2F30B660F},1721.75993095879,1436,74.5581696640888,2165,4,"74,6",1,20.9191264620575,2.15954567681771
2,02,Hamburg,Freie und Hansestadt,1847253,6,61257,2021/03/31 21:59:59+00,02,{0F3E860C-5181-4D3F-A421-1D51F50315EA},3316.11316912193,1382,139.017232615132,2568,4,"139,0",2,3.10951982826658,0.10017859908052
3,03,Niedersachsen,Land,7993608,9,198107,2021/03/31 21:59:59+00,03,{3FD77024-C29B-4843-9BE8-682AD48E60C9},2478.31767582298,4880,113.065339206026,9038,10,"113,1",3,29.8156067697764,6.34547245881216
4,04,Bremen,Freie Hansestadt,681202,5,20970,2021/03/31 21:59:59+00,04,{4132268B-54DE-4327-AC1E-760E915112F1},3078.38203645908,406,127.715420682852,870,0,"127,7",4,2.4434099165342,0.0540986322033472
5,05,Nordrhein-Westfalen,Land,17947221,10,612947,2021/03/31 21:59:59+00,05,{561D658F-3EE5-46E3-BC95-3528C6558AB9},3415.2752674077,14230,129.123054761514,23174,26,"129,1",5,19.7250153818911,4.413413308508
6,06,Hessen,Land,6288080,7,219484,2021/03/31 21:59:59+00,06,{93277AC4-E8FC-48C7-8940-028DC2ED66AF},3490.4772203916,6338,138.086665564051,8683,16,"138,1",6,15.9178246133033,2.68129889446109
7,07,Rheinland-Pfalz,Land,4093903,11,116795,2021/03/31 21:59:59+00,07,{E9B4296F-9BE2-4E53-9A58-CCF1396CB03D},2852.9010091348,3328,113.607967751068,4651,5,"113,6",7,13.1938203642167,2.48562050756341
8,08,Baden-Württemberg,Land,11100394,1,364953,2021/03/31 21:59:59+00,08,{80394DDF-C6A4-4A6E-BE8E-0259A81B22A9},3287.7481646147,8704,129.842238032272,14413,16,"129,8",8,18.9961731044424,4.35421266002989
9,09,Bayern,Freistaat,13124737,2,500549,2021/03/31 21:59:59+00,09,{1FF920F4-62CD-4A4F-B8C9-F042F2A3E00A},3813.78308761539,13263,142.006655066688,18638,17,"142,0",9,29.2832556594748,8.66111920110973
10,10,Saarland,Land,986887,12,31923,2021/03/31 21:59:59+00,10,{E3396A6F-8A30-4FDF-8DF7-DEF77DD38BEA},3234.71684194847,926,86.1294150191461,850,2,"86,1",10,4.22859886627026,0.3183791139877
11,11,Berlin,Land,3669491,3,146257,2021/03/31 21:59:59+00,11,{C7033073-2BB0-486B-97AF-5B3C639E7219},3985.75715269502,3054,124.404174856949,4565,4,"124,4",11,2.68122936739323,0.11801687170816
12,12,Brandenburg,Land,2521893,4,88464,2021/03/31 21:59:59+00,12,{B560AF89-5895-4BE4-96F8-0F581CD8A858},3507.84113362462,3306,146.397963751832,3692,4,"146,4",12,18.8795052312507,3.92195584983268
13,13,Mecklenburg-Vorpommern,Land,1608138,8,30650,2021/03/31 21:59:59+00,13,{A27F5628-E790-45BE-898D-F0A6841C0F7E},1905.93095866151,867,96.8200490256433,1557,6,"96,8",13,30.0401103158293,3.1428121816959
14,14,Sachsen,Freistaat,4071971,13,222264,2021/03/31 21:59:59+00,14,{256D2405-A7C8-4FEC-93DF-29F3C808CD25},5458.38857889705,8373,190.251846096153,7747,2,"190,3",14,15.2497070411544,2.36506980586789
15,15,Sachsen-Anhalt,Land,2194782,14,73163,2021/03/31 21:59:59+00,15,{66106BBE-F04B-4F92-80E1-5B5B30DA25B5},3333.4973587354,2713,161.747271482999,3550,4,"161,7",15,14.2172902910093,2.69041636236946
16,16,Thüringen,Freistaat,2133378,16,95394,2021/03/31 21:59:59+00,16,{3A3E2817-BB19-4F8C-8BCA-D8FF591140D4},4471.50012796607,3337,254.010306659204,5419,13,"254,0",16,15.0324529635839,2.07032354616438
